id,categories,base_categories
08f1f916e27045180352f04913bc42cc,"{""primary"":""health_and_medical"",""alternate"":[""hospital""]}","{""primary"":""department_store"",""alternate"":[""bookstore"",""electronics""]}"
08f446c24248389c03f8f8dbd8576f9f,"{""primary"":""sewing_and_alterations"",""alternate"":[""arts_and_crafts"",""fabric_store""]}","{""primary"":""appliance_store"",""alternate"":[""sewing_and_alterations"",""retail""]}"
08f1e33450db537303a4d343dac8ccdc,"{""primary"":""cafe"",""alternate"":[""restaurant"",""internet_cafe""]}","{""primary"":""coffee_shop"",""alternate"":[""restaurant""]}"
08f2af62655ad02303c1c002aed33a25,"{""primary"":""education"",""alternate"":[""specialty_school"",""b2b_science_and_technology""]}","{""primary"":""kids_recreation_and_party"",""alternate"":[""specialty_school"",""education""]}"
08f1f2d6b121bae9037c5aa065d85015,"{""primary"":""medical_research_and_development"",""alternate"":[""health_and_medical"",""medical_service_organizations""]}","{""primary"":""hospital"",""alternate"":[""orthotics"",""health_and_medical""]}"
08f2a101ab4a4d6603318d4b9c6dea88,"{""primary"":""italian_restaurant"",""alternate"":[""restaurant"",""pizza_restaurant""]}","{""primary"":""pizza_restaurant"",""alternate"":[""sandwich_shop"",""restaurant""]}"
08f1e9a009660cb00355eadd4822414d,"{""primary"":""furniture_store"",""alternate"":[""bar""]}","{""primary"":""retail""}"
2251799821514759,"{""primary"":""pharmacy"",""alternate"":[""drugstore"",""retail""]}","{""primary"":""supermarket"",""alternate"":[""retail""]}"
08f29a5498484496037471212e5b1e6b,"{""primary"":""accommodation"",""alternate"":[""landmark_and_historical_building"",""property_management""]}","{""primary"":""rental_services"",""alternate"":[""apartments"",""condominium"",""real_estate_service""]}"
08f44aeb866480e903682149449f77ac,"{""primary"":""jewelry_store"",""alternate"":[""shopping"",""retail""]}","{""primary"":""fashion_accessories_store"",""alternate"":[""jewelry_store"",""retail""]}"
08f26e51040a94ee0300548c32b817b1,"{""primary"":""medical_supply"",""alternate"":[""pharmacy"",""shopping""]}","{""primary"":""online_shop"",""alternate"":[""pharmacy"",""drugstore"",""corporate_office"",""private_establishments_and_corporates"",""retail""]}"
08f26c86642125b4031326f6a64ebbd6,"{""primary"":""shredding_services"",""alternate"":[""professional_services""]}","{""primary"":""business_management_services"",""alternate"":[""consultant_and_general_service"",""shredding_services"",""business_to_business_services"",""business_to_business""]}"
08f1f830f49208e3032af3d05c24923a,"{""primary"":""flowers_and_gifts_shop""}","{""primary"":""florist"",""alternate"":[""organic_grocery_store"",""retail""]}"
